Borough,Address,Zoning District,Building Class,Owner Name,Job Type,Business Name,General Contractor,Architect,Construction Floor Area,Proposed Height,Proposed Occupancy
MANHATTAN,222 2ND AVE,C1-7A,I1,KENNETH HOLDEN,A2,NY EYE AND EAR INFIRMARY INC.,GILBANE BUILDING COMPANY,JEFFREY BRAND,0,70,PUB
MANHATTAN,222 2ND AVE,C1-7A,I1,KENNETH HOLDEN,A2,NY EYE AND EAR INFIRMARY INC.,GILBANE BUILDING COMPANY,JEFFREY BRAND,0,70,PUB
MANHATTAN,225 EAST 126TH STREET,C6-3,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,MARK BOWLES,139333,63,B
MANHATTAN,225 EAST 126TH STREET,C6-3,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,MARK BOWLES,139333,63,B
MANHATTAN,225 EAST 126TH STREET,C6-3,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,MARK BOWLES,139333,63,B
MANHATTAN,225 EAST 126TH STREET,C6-3,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,MARK BOWLES,139333,63,B
MANHATTAN,225 EAST 126TH STREET,C6-3,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,MARK BOWLES,139333,63,B
MANHATTAN,225 EAST 126TH STREET,C6-3,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,MARK BOWLES,139333,63,B
MANHATTAN,225 EAST 126TH STREET,C6-3,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,MARK BOWLES,139333,63,B
MANHATTAN,225 EAST 126TH STREET,C6-3,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,MARK BOWLES,139333,63,B
MANHATTAN,225 EAST 126TH STREET,C6-3,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,MARK BOWLES,139333,63,B
MANHATTAN,225 EAST 126TH STREET,C6-3,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,MARK BOWLES,139333,63,B
MANHATTAN,225 EAST 126TH STREET,C6-3,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,MARK BOWLES,139333,63,B
MANHATTAN,225 EAST 126TH STREET,C6-3,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,MARK BOWLES,139333,63,B
MANHATTAN,225 EAST 126TH STREET,C6-3,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,MARK BOWLES,139333,63,B
MANHATTAN,225 EAST 126TH STREET,C6-3,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,MARK BOWLES,139333,63,B
MANHATTAN,225 EAST 126TH STREET,C6-3,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,MARK BOWLES,139333,63,B
MANHATTAN,225 EAST 126TH STREET,C6-3,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,MARK BOWLES,139333,63,B
MANHATTAN,225 EAST 126TH STREET,C6-3,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,MARK BOWLES,139333,63,B
MANHATTAN,225 EAST 126TH STREET,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,CHRISTOPHER MILANO,0,0
MANHATTAN,225 EAST 126TH STREET,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,CHRISTOPHER MILANO,0,0
MANHATTAN,225 EAST 126TH STREET,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,CHRISTOPHER MILANO,0,0
MANHATTAN,225 EAST 126TH STREET,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,CHRISTOPHER MILANO,0,0
MANHATTAN,225 EAST 126TH STREET,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,CHRISTOPHER MILANO,0,0
MANHATTAN,225 EAST 126TH STREET,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,CHRISTOPHER MILANO,0,0
MANHATTAN,225 EAST 126TH STREET,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,CHRISTOPHER MILANO,0,0
MANHATTAN,225 EAST 126TH STREET,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,CHRISTOPHER MILANO,0,0
MANHATTAN,225 EAST 126TH STREET,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,CHRISTOPHER MILANO,0,0
MANHATTAN,225 EAST 126TH STREET,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,CHRISTOPHER MILANO,0,0
MANHATTAN,225 EAST 126TH STREET,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,CHRISTOPHER MILANO,0,0
MANHATTAN,225 EAST 126TH STREET,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,CHRISTOPHER MILANO,0,0
MANHATTAN,225 EAST 126TH STREET,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,CHRISTOPHER MILANO,0,0
MANHATTAN,225 EAST 126TH STREET,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,CHRISTOPHER MILANO,0,0
MANHATTAN,225 EAST 126TH STREET,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,CHRISTOPHER MILANO,0,0
MANHATTAN,225 EAST 126TH STREET,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,CHRISTOPHER MILANO,0,0
MANHATTAN,225 EAST 126TH STREET,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,CHRISTOPHER MILANO,0,0
MANHATTAN,225 EAST 126TH STREET,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,STEVEN VIEHL,0,0
MANHATTAN,225 EAST 126TH STREET,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,STEVEN VIEHL,0,0
MANHATTAN,225 EAST 126TH STREET,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,STEVEN VIEHL,0,0
MANHATTAN,225 EAST 126TH STREET,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,STEVEN VIEHL,0,0
MANHATTAN,225 EAST 126TH STREET,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,STEVEN VIEHL,0,0
MANHATTAN,225 EAST 126TH STREET,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,STEVEN VIEHL,0,0
MANHATTAN,225 EAST 126TH STREET,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,STEVEN VIEHL,0,0
MANHATTAN,225 EAST 126TH STREET,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,STEVEN VIEHL,0,0
MANHATTAN,225 EAST 126TH STREET,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,STEVEN VIEHL,0,0
MANHATTAN,225 EAST 126TH STREET,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,STEVEN VIEHL,0,0
MANHATTAN,225 EAST 126TH STREET,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,STEVEN VIEHL,0,0
MANHATTAN,225 EAST 126TH STREET,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,STEVEN VIEHL,0,0
MANHATTAN,225 EAST 126TH STREET,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,STEVEN VIEHL,0,0
MANHATTAN,225 EAST 126TH STREET,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,STEVEN VIEHL,0,0
MANHATTAN,225 EAST 126TH STREET,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,STEVEN VIEHL,0,0
MANHATTAN,225 EAST 126TH STREET,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,STEVEN VIEHL,0,0
MANHATTAN,225 EAST 126TH STREET,I9,ROBERT MURPHY,NB,MM PROTON I, LLC,GILBANE BUILDING COMPANY,STEVEN VIEHL,0,0
BROOKLYN,2 EASTERN PARKWAY,R6,P8,BRETT ROBINSON,A2,BROOKLYN PUBLIC LIBRARY,GILBANE BUILDING COMPANY,TOSHIKO MORI,0,62,PUB
BROOKLYN,2 EASTERN PARKWAY,R6,P8,BRETT ROBINSON,A2,BROOKLYN PUBLIC LIBRARY,GILBANE BUILDING COMPANY,TOSHIKO MORI,0,62,PUB
BROOKLYN,2 EASTERN PARKWAY,R6,P8,BRETT ROBINSON,A2,BROOKLYN PUBLIC LIBRARY,GILBANE BUILDING COMPANY,TOSHIKO MORI,0,62,PUB
BROOKLYN,2 EASTERN PARKWAY,R6,P8,BRETT ROBINSON,A2,BROOKLYN PUBLIC LIBRARY,GILBANE BUILDING COMPANY,TOSHIKO MORI,0,62,PUB
BROOKLYN,2 EASTERN PARKWAY,R6,P8,BRETT ROBINSON,A2,BROOKLYN PUBLIC LIBRARY,GILBANE BUILDING COMPANY,TOSHIKO MORI,0,62,PUB
BROOKLYN,2 EASTERN PARKWAY,R6,P8,BRETT ROBINSON,A2,BROOKLYN PUBLIC LIBRARY,GILBANE BUILDING COMPANY,TOSHIKO MORI,0,62,PUB
BROOKLYN,2 EASTERN PARKWAY,R6,P8,BRETT ROBINSON,A2,BROOKLYN PUBLIC LIBRARY,GILBANE BUILDING COMPANY,TOSHIKO MORI,0,62,PUB
BROOKLYN,2 EASTERN PARKWAY,R6,P8,BRETT ROBINSON,A2,BROOKLYN PUBLIC LIBRARY,GILBANE BUILDING COMPANY,TOSHIKO MORI,0,62,PUB
BROOKLYN,2 EASTERN PARKWAY,R6,P8,BRETT ROBINSON,A2,BROOKLYN PUBLIC LIBRARY,GILBANE BUILDING COMPANY,TOSHIKO MORI,0,62,PUB
BROOKLYN,2 EASTERN PARKWAY,R6,P8,BRETT ROBINSON,A2,BROOKLYN PUBLIC LIBRARY,GILBANE BUILDING COMPANY,TOSHIKO MORI,0,62,PUB
BROOKLYN,2 EASTERN PARKWAY,R6,P8,BRETT ROBINSON,A2,BROOKLYN PUBLIC LIBRARY,GILBANE BUILDING COMPANY,TOSHIKO MORI,0,62,PUB
MANHATTAN,550 WEST 34TH STREET,C6-4,O4,HAGEN SCUTT,A3,ONE HUDSON YARDS OWNER LLC,GILBANE BUILDING COMPANY,MICHELE O'CONNOR,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,ANDREW MALEK,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,ANDREW MALEK,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,ANDREW MALEK,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,ANDREW MALEK,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,ANDREW MALEK,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,ANDREW MALEK,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,ANDREW MALEK,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,ANDREW MALEK,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,ANDREW MALEK,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,ANDREW MALEK,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,ANDREW MALEK,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,ANDREW MALEK,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,ANDREW MALEK,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,ANDREW MALEK,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,JEFFREY SMILOW,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,JEFFREY SMILOW,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,JEFFREY SMILOW,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,JEFFREY SMILOW,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,JEFFREY SMILOW,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,JEFFREY SMILOW,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,JEFFREY SMILOW,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,JEFFREY SMILOW,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,JEFFREY SMILOW,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,JEFFREY SMILOW,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,JEFFREY SMILOW,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,JEFFREY SMILOW,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,JEFFREY SMILOW,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,JEFFREY SMILOW,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,DOUGLAS MASS,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,DOUGLAS MASS,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,DOUGLAS MASS,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,DOUGLAS MASS,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,DOUGLAS MASS,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,DOUGLAS MASS,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,DOUGLAS MASS,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,DOUGLAS MASS,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,DOUGLAS MASS,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,DOUGLAS MASS,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,DOUGLAS MASS,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,DOUGLAS MASS,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,DOUGLAS MASS,0,0
STATEN ISLAND,155 RICHMOND TERRACE,G1,SETH MYERS,A1,NYC EDC,GILBANE BUILDING COMPANY,DOUGLAS MASS,0,0
STATEN ISLAND,155 RICHMOND TERRACE,M1-1,G1,SETH MAYERS,NB,NYCEDC,GILBANE BUILDING COMPANY,SITAL PATEL,418901,46,S-2
STATEN ISLAND,155 RICHMOND TERRACE,M1-1,G1,SETH MAYERS,NB,NYCEDC,GILBANE BUILDING COMPANY,SITAL PATEL,418901,46,S-2
STATEN ISLAND,155 RICHMOND TERRACE,M1-1,G1,SETH MAYERS,NB,NYCEDC,GILBANE BUILDING COMPANY,SITAL PATEL,418901,46,S-2
STATEN ISLAND,155 RICHMOND TERRACE,M1-1,G1,SETH MAYERS,NB,NYCEDC,GILBANE BUILDING COMPANY,SITAL PATEL,418901,46,S-2
STATEN ISLAND,155 RICHMOND TERRACE,M1-1,G1,SETH MAYERS,NB,NYCEDC,GILBANE BUILDING COMPANY,SITAL PATEL,418901,46,S-2
STATEN ISLAND,155 RICHMOND TERRACE,M1-1,G1,SETH MAYERS,NB,NYCEDC,GILBANE BUILDING COMPANY,SITAL PATEL,418901,46,S-2
STATEN ISLAND,155 RICHMOND TERRACE,M1-1,G1,SETH MAYERS,NB,NYCEDC,GILBANE BUILDING COMPANY,SITAL PATEL,418901,46,S-2
STATEN ISLAND,155 RICHMOND TERRACE,M1-1,G1,SETH MAYERS,NB,NYCEDC,GILBANE BUILDING COMPANY,SITAL PATEL,418901,46,S-2
STATEN ISLAND,155 RICHMOND TERRACE,M1-1,G1,SETH MAYERS,NB,NYCEDC,GILBANE BUILDING COMPANY,SITAL PATEL,418901,46,S-2
STATEN ISLAND,155 RICHMOND TERRACE,M1-1,G1,SETH MAYERS,NB,NYCEDC,GILBANE BUILDING COMPANY,SITAL PATEL,418901,46,S-2
STATEN ISLAND,155 RICHMOND TERRACE,M1-1,G1,SETH MAYERS,NB,NYCEDC,GILBANE BUILDING COMPANY,SITAL PATEL,418901,46,S-2
STATEN ISLAND,155 RICHMOND TERRACE,M1-1,G1,SETH MAYERS,NB,NYCEDC,GILBANE BUILDING COMPANY,SITAL PATEL,418901,46,S-2
STATEN ISLAND,155 RICHMOND TERRACE,M1-1,G1,SETH MAYERS,NB,NYCEDC,GILBANE BUILDING COMPANY,SITAL PATEL,418901,46,S-2
STATEN ISLAND,155 RICHMOND TERRACE,M1-1,G1,SETH MAYERS,NB,NYCEDC,GILBANE BUILDING COMPANY,SITAL PATEL,418901,46,S-2
STATEN ISLAND,155 RICHMOND TERRACE,M1-1,G1,SETH MAYERS,NB,NYCEDC,GILBANE BUILDING COMPANY,SITAL PATEL,418901,46,S-2
STATEN ISLAND,155 RICHMOND TERRACE,M1-1,G1,SETH MAYERS,NB,NYCEDC,GILBANE BUILDING COMPANY,SITAL PATEL,418901,46,S-2
STATEN ISLAND,155 RICHMOND TERRACE,M1-1,G1,SETH MAYERS,NB,NYCEDC,GILBANE BUILDING COMPANY,SITAL PATEL,418901,46,S-2
STATEN ISLAND,155 RICHMOND TERRACE,M1-1,G1,SETH MAYERS,NB,NYCEDC,GILBANE BUILDING COMPANY,SITAL PATEL,418901,46,S-2
STATEN ISLAND,155 RICHMOND TERRACE,M1-1,G1,SETH MAYERS,NB,NYCEDC,GILBANE BUILDING COMPANY,SITAL PATEL,418901,46,S-2
STATEN ISLAND,155 RICHMOND TERRACE,M1-1,G1,SETH MAYERS,NB,NYCEDC,GILBANE BUILDING COMPANY,SITAL PATEL,418901,46,S-2
STATEN ISLAND,155 RICHMOND TERRACE,M1-1,G1,SETH MAYERS,NB,NYCEDC,GILBANE BUILDING COMPANY,SITAL PATEL,418901,46,S-2
STATEN ISLAND,155 RICHMOND TERRACE,M1-1,G1,SETH MAYERS,NB,NYCEDC,GILBANE BUILDING COMPANY,SITAL PATEL,418901,46,S-2
STATEN ISLAND,155 RICHMOND TERRACE,M1-1,G1,SETH MAYERS,NB,NYCEDC,GILBANE BUILDING COMPANY,SITAL PATEL,418901,46,S-2
STATEN ISLAND,155 RICHMOND TERRACE,M1-1,G1,SETH MAYERS,NB,NYCEDC,GILBANE BUILDING COMPANY,SITAL PATEL,418901,46,S-2
STATEN ISLAND,155 RICHMOND TERRACE,M1-1,G1,SETH MAYERS,NB,NYCEDC,GILBANE BUILDING COMPANY,SITAL PATEL,418901,46,S-2
STATEN ISLAND,155 RICHMOND TERRACE,M1-1,G1,SETH MAYERS,NB,NYCEDC,GILBANE BUILDING COMPANY,SITAL PATEL,418901,46,S-2
STATEN ISLAND,155 RICHMOND TERRACE,M1-1,G1,SETH MAYERS,NB,NYCEDC,GILBANE BUILDING COMPANY,SITAL PATEL,418901,46,S-2
STATEN ISLAND,155 RICHMOND TERRACE,M1-1,G1,SETH MAYERS,NB,NYCEDC,GILBANE BUILDING COMPANY,SITAL PATEL,418901,46,S-2
STATEN ISLAND,155 RICHMOND TERRACE,M1-1,G1,SETH MAYERS,NB,NYCEDC,GILBANE BUILDING COMPANY,SITAL PATEL,418901,46,S-2
